Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
T Toro,OTHER_OUTDOOR,19-06-2023,16:04:31,00:43:45,0.14,69,0.2,2.8,303:49,21:06,3,,,,,,,,,,,130.0,40.0,200,55,44,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,00:02:05,68,0.0,00:00,,,,0.00,,,
,00:02:06,69,0.0,00:00,,,,0.00,,,
,00:02:07,69,0.0,00:00,,,,0.00,,,
,00:02:08,70,0.0,00:00,,,,0.00,,,
,00:02:09,70,0.0,00:00,,,,0.00,,,
,00:02:10,70,0.0,00:00,,,,0.00,,,
,00:02:11,69,0.0,00:00,,,,0.00,,,
,00:02:12,69,0.0,00:00,,,,0.00,,,
,00:02:13,68,0.0,00:00,,,,0.00,,,
,00:02:14,67,0.0,00:00,,,,0.00,,,
,00:02:15,67,0.0,00:00,,,,0.00,,,
,00:02:16,67,0.0,00:00,,,,0.00,,,
,00:02:17,69,0.0,00:00,,,,0.00,,,
,00:02:18,70,0.0,00:00,,,,0.00,,,
,00:02:19,71,0.0,00:00,,,,0.00,,,
,00:02:20,73,0.0,00:00,,,,0.00,,,
,00:02:21,71,0.0,00:00,,,,0.00,,,
,00:02:22,69,0.0,00:00,,,,0.00,,,
,00:02:23,68,0.0,00:00,,,,0.00,,,
,00:02:24,67,0.0,00:00,,,,0.00,,,
,00:02:25,68,0.0,00:00,,,,0.00,,,
,00:02:26,69,0.0,00:00,,,,0.00,,,
,00:02:27,70,0.0,00:00,,,,0.00,,,
,00:02:28,71,0.0,00:00,,,,0.00,,,
,00:02:29,71,0.0,00:00,,,,0.00,,,
,00:02:30,71,0.0,00:00,,,,0.00,,,
,00:02:31,69,0.0,00:00,,,,0.00,,,
,00:02:32,68,0.0,00:00,,,,0.00,,,
,00:02:33,67,0.0,00:00,,,,0.00,,,
,00:02:34,66,0.0,00:00,,,,0.00,,,
,00:02:35,67,0.0,00:00,,,,0.00,,,
,00:02:36,67,0.0,00:00,,,,0.00,,,
,00:02:37,68,0.0,00:00,,,,0.00,,,
,00:02:38,68,0.0,00:00,,,,0.00,,,
,00:02:39,68,0.0,00:00,,,,0.00,,,
,00:02:40,67,0.0,00:00,,,,0.00,,,
,00:02:41,67,0.0,00:00,,,,0.00,,,
,00:02:42,67,0.0,00:00,,,,0.00,,,
,00:02:43,67,0.0,00:00,,,,0.00,,,
,00:02:44,67,0.0,00:00,,,,0.00,,,
,00:02:45,67,0.0,00:00,,,,0.00,,,
,00:02:46,67,0.0,00:00,,,,0.00,,,
,00:02:47,67,0.0,00:00,,,,0.00,,,
,00:02:48,67,0.0,00:00,,,,0.00,,,
,00:02:49,68,0.0,00:00,,,,0.00,,,
,00:02:50,68,0.0,00:00,,,,0.00,,,
,00:02:51,69,0.0,00:00,,,,0.00,,,
,00:02:52,70,0.0,00:00,,,,0.00,,,
,00:02:53,70,0.0,00:00,,,,0.00,,,
,00:02:54,69,0.0,00:00,,,,0.00,,,
,00:02:55,68,0.0,00:00,,,,0.00,,,
,00:02:56,68,0.0,00:00,,,,0.00,,,
,00:02:57,68,0.0,00:00,,,,0.00,,,
,00:02:58,69,0.0,00:00,,,,0.00,,,
,00:02:59,70,0.0,00:00,,,,0.00,,,
,00:03:00,72,0.0,00:00,,,,0.00,,,
,00:03:01,73,0.0,00:00,,,,0.00,,,
,00:03:02,74,0.0,00:00,,,,0.00,,,
,00:03:03,75,0.0,00:00,,,,0.00,,,
,00:03:04,75,0.0,00:00,,,,0.00,,,
,00:03:05,75,0.0,00:00,,,,0.00,,,
,00:03:06,75,0.0,00:00,,,,0.00,,,
,00:03:07,73,0.0,00:00,,,,0.00,,,
,00:03:08,72,0.0,00:00,,,,0.00,,,
,00:03:09,71,0.0,00:00,,,,0.00,,,
,00:03:10,70,0.0,00:00,,,,0.00,,,
,00:03:11,69,0.0,00:00,,,,0.00,,,
,00:03:12,69,0.0,00:00,,,,0.00,,,
,00:03:13,68,0.0,00:00,,,,0.00,,,
,00:03:14,68,0.0,00:00,,,,0.00,,,
,00:03:15,67,0.0,00:00,,,,0.00,,,
,00:03:16,67,0.0,00:00,,,,0.00,,,
,00:03:17,67,0.0,00:00,,,,0.00,,,
,00:03:18,66,0.0,00:00,,,,0.00,,,
,00:03:19,67,0.0,00:00,,,,0.00,,,
,00:03:20,67,0.0,00:00,,,,0.00,,,
,00:03:21,68,0.0,00:00,,,,0.00,,,
,00:03:22,69,0.0,00:00,,,,0.00,,,
,00:03:23,69,0.0,00:00,,,,0.00,,,
,00:03:24,69,0.0,00:00,,,,0.00,,,
,00:03:25,70,0.0,00:00,,,,0.00,,,
,00:03:26,71,0.0,00:00,,,,0.00,,,
,00:03:27,73,0.0,00:00,,,,0.00,,,
,00:03:28,74,0.0,00:00,,,,0.00,,,
,00:03:29,73,0.0,00:00,,,,0.00,,,
,00:03:30,72,0.0,00:00,,,,0.00,,,
,00:03:31,71,0.0,00:00,,,,0.00,,,
,00:03:32,70,0.0,00:00,,,,0.00,,,
,00:03:33,69,0.0,00:00,,,,0.00,,,
,00:03:34,69,0.0,00:00,,,,0.00,,,
,00:03:35,69,0.0,00:00,,,,0.00,,,
,00:03:36,69,0.0,00:00,,,,0.00,,,
,00:03:37,71,0.0,00:00,,,,0.00,,,
,00:03:38,71,0.0,00:00,,,,0.00,,,
,00:03:39,73,0.0,00:00,,,,0.00,,,
,00:03:40,74,0.0,00:00,,,,0.00,,,
,00:03:41,74,0.0,00:00,,,,0.00,,,
,00:03:42,75,0.0,00:00,,,,0.00,,,
,00:03:43,74,0.0,00:00,,,,0.00,,,
,00:03:44,73,0.0,00:00,,,,0.00,,,
,00:03:45,73,0.0,00:00,,,,0.00,,,
,00:03:46,73,0.0,00:00,,,,0.00,,,
,00:03:47,74,0.0,00:00,,,,0.00,,,
,00:03:48,75,0.0,00:00,,,,0.00,,,
,00:03:49,75,0.0,00:00,,,,0.00,,,
,00:03:50,76,0.0,00:00,,,,0.00,,,
,00:03:51,75,0.0,00:00,,,,0.00,,,
,00:03:52,74,0.0,00:00,,,,0.00,,,
,00:03:53,73,0.0,00:00,,,,0.00,,,
,00:03:54,72,0.0,00:00,,,,0.00,,,
,00:03:55,71,0.0,00:00,,,,0.00,,,
,00:03:56,71,0.0,00:00,,,,0.00,,,
,00:03:57,70,0.0,00:00,,,,0.00,,,
,00:03:58,69,0.0,00:00,,,,0.00,,,
,00:03:59,68,0.0,00:00,,,,0.00,,,
,00:04:00,67,0.0,00:00,,,,0.00,,,
,00:04:01,68,0.0,00:00,,,,0.00,,,
,00:04:02,69,0.0,00:00,,,,0.00,,,
,00:04:03,70,0.0,00:00,,,,0.00,,,
,00:04:04,71,0.0,00:00,,,,0.00,,,
,00:04:05,72,0.0,00:00,,,,0.00,,,
,00:04:06,72,0.0,00:00,,,,0.00,,,
,00:04:07,71,0.0,00:00,,,,0.00,,,
,00:04:08,70,0.0,00:00,,,,0.00,,,
,00:04:09,69,0.0,00:00,,,,0.00,,,
,00:04:10,68,0.0,00:00,,,,0.00,,,
,00:04:11,67,0.0,00:00,,,,0.00,,,
,00:04:12,66,0.0,00:00,,,,0.00,,,
,00:04:13,65,0.0,00:00,,,,0.00,,,
,00:04:14,65,0.0,00:00,,,,0.00,,,
,00:04:15,64,0.0,00:00,,,,0.00,,,
,00:04:16,64,0.0,00:00,,,,0.00,,,
,00:04:17,64,0.0,00:00,,,,0.00,,,
,00:04:18,65,0.0,00:00,,,,0.00,,,
,00:04:19,65,0.0,00:00,,,,0.00,,,
,00:04:20,66,0.0,00:00,,,,0.00,,,
,00:04:21,66,0.0,00:00,,,,0.00,,,
,00:04:22,66,0.0,00:00,,,,0.00,,,
,00:04:23,67,0.0,00:00,,,,0.00,,,
,00:04:24,67,0.0,00:00,,,,0.00,,,
,00:04:25,68,0.0,00:00,,,,0.00,,,
,00:04:26,68,0.0,00:00,,,,0.00,,,
,00:04:27,68,0.0,00:00,,,,0.00,,,
,00:04:28,68,0.0,00:00,,,,0.00,,,
,00:04:29,69,0.0,00:00,,,,0.00,,,
,00:04:30,70,0.0,00:00,,,,0.00,,,
,00:04:31,70,0.0,00:00,,,,0.00,,,
,00:04:32,71,0.0,00:00,,,,0.00,,,
,00:04:33,72,0.0,00:00,,,,0.00,,,
,00:04:34,73,0.0,00:00,,,,0.00,,,
,00:04:35,74,0.0,00:00,,,,0.00,,,
,00:04:36,75,0.0,00:00,,,,0.00,,,
,00:04:37,75,0.0,00:00,,,,0.00,,,
,00:04:38,75,0.0,00:00,,,,0.00,,,
,00:04:39,75,0.0,00:00,,,,0.00,,,
,00:04:40,75,0.0,00:00,,,,0.00,,,
,00:04:41,74,0.0,00:00,,,,0.00,,,
,00:04:42,74,0.0,00:00,,,,0.00,,,
,00:04:43,73,0.0,00:00,,,,0.00,,,
,00:04:44,72,0.0,00:00,,,,0.00,,,
,00:04:45,71,0.0,00:00,,,,0.00,,,
,00:04:46,70,0.0,00:00,,,,0.00,,,
,00:04:47,69,0.0,00:00,,,,0.00,,,
,00:04:48,68,0.0,00:00,,,,0.00,,,
,00:04:49,68,0.0,00:00,,,,0.00,,,
,00:04:50,67,0.0,00:00,,,,0.00,,,
,00:04:51,69,0.0,00:00,,,,0.00,,,
,00:04:52,70,0.0,00:00,,,,0.00,,,
,00:04:53,71,0.0,00:00,,,,0.00,,,
,00:04:54,73,0.0,00:00,,,,0.00,,,
,00:04:55,74,0.0,00:00,,,,0.00,,,
,00:04:56,75,0.0,00:00,,,,0.00,,,
,00:04:57,77,0.0,00:00,,,,0.00,,,
,00:04:58,79,0.0,00:00,,,,0.00,,,
,00:04:59,80,0.0,00:00,,,,0.00,,,
,00:05:00,81,0.0,00:00,,,,0.00,,,
,00:05:01,80,0.0,00:00,,,,0.00,,,
,00:05:02,79,0.0,00:00,,,,0.00,,,
,00:05:03,77,0.0,00:00,,,,0.00,,,
,00:05:04,76,0.0,00:00,,,,0.00,,,
,00:05:05,75,0.0,00:00,,,,0.00,,,
,00:05:06,74,0.0,00:00,,,,0.00,,,
,00:05:07,74,0.0,00:00,,,,0.00,,,
,00:05:08,74,0.0,00:00,,,,0.00,,,
,00:05:09,74,0.0,00:00,,,,0.00,,,
,00:05:10,74,0.0,00:00,,,,0.00,,,
,00:05:11,73,0.0,00:00,,,,0.00,,,
,00:05:12,72,0.0,00:00,,,,0.00,,,
,00:05:13,71,0.0,00:00,,,,0.00,,,
,00:05:14,71,0.0,00:00,,,,0.00,,,
,00:05:15,72,0.0,00:00,,,,0.00,,,
,00:05:16,73,0.0,00:00,,,,0.00,,,
,00:05:17,74,0.0,00:00,,,,0.00,,,
,00:05:18,75,0.0,00:00,,,,0.00,,,
,00:05:19,76,0.0,00:00,,,,0.00,,,
,00:05:20,76,0.0,00:00,,,,0.00,,,
,00:05:21,75,0.0,00:00,,,,0.00,,,
,00:05:22,73,0.0,00:00,,,,0.00,,,
,00:05:23,72,0.0,00:00,,,,0.00,,,
,00:05:24,72,0.0,00:00,,,,0.00,,,
,00:05:25,71,0.0,00:00,,,,0.00,,,
,00:05:26,70,0.0,00:00,,,,0.00,,,
,00:05:27,70,0.0,00:00,,,,0.00,,,
,00:05:28,70,0.0,00:00,,,,0.00,,,
,00:05:29,69,0.0,00:00,,,,0.00,,,
,00:05:30,69,0.0,00:00,,,,0.00,,,
,00:05:31,69,0.0,00:00,,,,0.00,,,
,00:05:32,69,0.0,00:00,,,,0.00,,,
,00:05:33,70,0.0,00:00,,,,0.00,,,
,00:05:34,70,0.0,00:00,,,,0.00,,,
,00:05:35,70,0.0,00:00,,,,0.00,,,
,00:05:36,71,0.0,00:00,,,,0.00,,,
,00:05:37,71,0.0,00:00,,,,0.00,,,
,00:05:38,72,0.0,00:00,,,,0.00,,,
,00:05:39,72,0.0,00:00,,,,0.00,,,
,00:05:40,73,0.0,00:00,,,,0.00,,,
,00:05:41,73,0.0,00:00,,,,0.00,,,
,00:05:42,74,0.0,00:00,,,,0.00,,,
,00:05:43,74,0.0,00:00,,,,0.00,,,
,00:05:44,74,0.0,00:00,,,,0.00,,,
,00:05:45,74,0.0,00:00,,,,0.00,,,
,00:05:46,74,0.0,00:00,,,,0.00,,,
,00:05:47,73,0.0,00:00,,,,0.00,,,
,00:05:48,73,0.0,00:00,,,,0.00,,,
,00:05:49,73,0.0,00:00,,,,0.00,,,
,00:05:50,72,0.0,00:00,,,,0.00,,,
,00:05:51,72,0.0,00:00,,,,0.00,,,
,00:05:52,72,0.0,00:00,,,,0.00,,,
,00:05:53,72,0.0,00:00,,,,0.00,,,
,00:05:54,72,0.0,00:00,,,,0.00,,,
,00:05:55,72,0.0,00:00,,,,0.00,,,
,00:05:56,72,0.0,00:00,,,,0.00,,,
,00:05:57,72,0.0,00:00,,,,0.00,,,
,00:05:58,72,0.0,00:00,,,,0.00,,,
,00:05:59,72,0.0,00:00,,,,0.00,,,
,00:06:00,72,0.0,00:00,,,,0.00,,,
,00:06:01,71,0.0,00:00,,,,0.00,,,
,00:06:02,70,0.0,00:00,,,,0.00,,,
,00:06:03,69,0.0,00:00,,,,0.00,,,
,00:06:04,68,0.0,00:00,,,,0.00,,,
,00:06:05,67,0.0,00:00,,,,0.00,,,
,00:06:06,67,0.0,00:00,,,,0.00,,,
,00:06:07,66,0.0,00:00,,,,0.00,,,
,00:06:08,65,0.0,00:00,,,,0.00,,,
,00:06:09,64,0.0,00:00,,,,0.00,,,
,00:06:10,63,0.0,00:00,,,,0.00,,,
,00:06:11,63,0.0,00:00,,,,0.00,,,
,00:06:12,62,0.0,00:00,,,,0.00,,,
,00:06:13,62,0.0,00:00,,,,0.00,,,
,00:06:14,62,0.0,00:00,,,,0.00,,,
,00:06:15,63,0.0,00:00,,,,0.00,,,
,00:06:16,64,0.0,00:00,,,,0.00,,,
,00:06:17,65,0.0,00:00,,,,0.00,,,
,00:06:18,65,0.0,00:00,,,,0.00,,,
,00:06:19,67,0.0,00:00,,,,0.00,,,
,00:06:20,67,0.0,00:00,,,,0.00,,,
,00:06:21,69,0.0,00:00,,,,0.00,,,
,00:06:22,69,0.0,00:00,,,,0.00,,,
,00:06:23,70,0.0,00:00,,,,0.00,,,
,00:06:24,70,0.0,00:00,,,,0.00,,,
,00:06:25,71,0.0,00:00,,,,0.00,,,
,00:06:26,71,0.0,00:00,,,,0.00,,,
,00:06:27,71,0.0,00:00,,,,0.00,,,
,00:06:28,71,0.0,00:00,,,,0.00,,,
,00:06:29,70,0.0,00:00,,,,0.00,,,
,00:06:30,70,0.0,00:00,,,,0.00,,,
,00:06:31,69,0.0,00:00,,,,0.00,,,
,00:06:32,69,0.0,00:00,,,,0.00,,,
,00:06:33,67,0.0,00:00,,,,0.00,,,
,00:06:34,66,0.0,00:00,,,,0.00,,,
,00:06:35,65,0.0,00:00,,,,0.00,,,
,00:06:36,64,0.0,00:00,,,,0.00,,,
,00:06:37,64,0.0,00:00,,,,0.00,,,
,00:06:38,64,0.0,00:00,,,,0.00,,,
,00:06:39,64,0.0,00:00,,,,0.00,,,
,00:06:40,65,0.0,00:00,,,,0.00,,,
,00:06:41,65,0.0,00:00,,,,0.00,,,
,00:06:42,65,0.0,00:00,,,,0.00,,,
,00:06:43,66,0.0,00:00,,,,0.00,,,
,00:06:44,66,0.0,00:00,,,,0.00,,,
,00:06:45,65,0.0,00:00,,,,0.00,,,
,00:06:46,65,0.0,00:00,,,,0.00,,,
,00:06:47,65,0.0,00:00,,,,0.00,,,
,00:06:48,65,0.0,00:00,,,,0.00,,,
,00:06:49,65,0.0,00:00,,,,0.00,,,
,00:06:50,65,0.0,00:00,,,,0.00,,,
,00:06:51,66,0.0,00:00,,,,0.00,,,
,00:06:52,66,0.0,00:00,,,,0.00,,,
,00:06:53,66,0.0,00:00,,,,0.00,,,
,00:06:54,66,0.0,00:00,,,,0.00,,,
,00:06:55,65,0.0,00:00,,,,0.00,,,
,00:06:56,65,0.0,00:00,,,,0.00,,,
,00:06:57,65,0.0,00:00,,,,0.00,,,
,00:06:58,64,0.0,00:00,,,,0.00,,,
,00:06:59,64,0.0,00:00,,,,0.00,,,
,00:07:00,63,0.0,00:00,,,,0.00,,,
,00:07:01,63,0.0,00:00,,,,0.00,,,
,00:07:02,63,0.0,00:00,,,,0.00,,,
,00:07:03,63,0.0,00:00,,,,0.00,,,
,00:07:04,63,0.0,00:00,,,,0.00,,,
,00:07:05,63,0.0,00:00,,,,0.00,,,
,00:07:06,63,0.0,00:00,,,,0.00,,,
,00:07:07,63,0.0,00:00,,,,0.00,,,
,00:07:08,63,0.0,00:00,,,,0.00,,,
,00:07:09,63,0.0,00:00,,,,0.00,,,
,00:07:10,64,0.0,00:00,,,,0.00,,,
,00:07:11,64,0.0,00:00,,,,0.00,,,
,00:07:12,64,0.0,00:00,,,,0.00,,,
,00:07:13,64,0.0,00:00,,,,0.00,,,
,00:07:14,64,0.0,00:00,,,,0.00,,,
,00:07:15,64,0.0,00:00,,,,0.00,,,
,00:07:16,64,0.0,00:00,,,,0.00,,,
,00:07:17,64,0.0,00:00,,,,0.00,,,
,00:07:18,64,0.0,00:00,,,,0.00,,,
,00:07:19,64,0.0,00:00,,,,0.00,,,
,00:07:20,64,0.0,00:00,,,,0.00,,,
,00:07:21,65,0.0,00:00,,,,0.00,,,
,00:07:22,65,0.0,00:00,,,,0.00,,,
,00:07:23,66,0.0,00:00,,,,0.00,,,
,00:07:24,66,0.0,00:00,,,,0.00,,,
,00:07:25,66,0.0,00:00,,,,0.00,,,
,00:07:26,67,0.0,00:00,,,,0.00,,,
,00:07:27,66,0.0,00:00,,,,0.00,,,
,00:07:28,66,0.0,00:00,,,,0.00,,,
,00:07:29,66,0.0,00:00,,,,0.00,,,
,00:07:30,66,0.0,00:00,,,,0.00,,,
,00:07:31,65,0.0,00:00,,,,0.00,,,
,00:07:32,64,0.0,00:00,,,,0.00,,,
,00:07:33,65,0.0,00:00,,,,0.00,,,
,00:07:34,67,0.0,00:00,,,,0.00,,,
,00:07:35,69,0.0,00:00,,,,0.00,,,
,00:07:36,70,0.0,00:00,,,,0.00,,,
,00:07:37,70,0.0,00:00,,,,0.00,,,
,00:07:38,70,0.0,00:00,,,,0.00,,,
,00:07:39,69,0.0,00:00,,,,0.00,,,
,00:07:40,69,0.0,00:00,,,,0.00,,,
,00:07:41,68,0.0,00:00,,,,0.00,,,
,00:07:42,68,0.0,00:00,,,,0.00,,,
,00:07:43,68,0.0,00:00,,,,0.00,,,
,00:07:44,68,0.0,00:00,,,,0.00,,,
,00:07:45,67,0.0,00:00,,,,0.00,,,
,00:07:46,67,0.0,00:00,,,,0.00,,,
,00:07:47,66,0.0,00:00,,,,0.00,,,
,00:07:48,65,0.0,00:00,,,,0.00,,,
,00:07:49,64,0.0,00:00,,,,0.00,,,
,00:07:50,63,0.0,00:00,,,,0.00,,,
,00:07:51,62,0.0,00:00,,,,0.00,,,
,00:07:52,61,0.0,00:00,,,,0.00,,,
,00:07:53,61,0.0,00:00,,,,0.00,,,
,00:07:54,61,0.0,00:00,,,,0.00,,,
,00:07:55,61,0.0,00:00,,,,0.00,,,
,00:07:56,61,0.0,00:00,,,,0.00,,,
,00:07:57,61,0.0,00:00,,,,0.00,,,
,00:07:58,61,0.0,00:00,,,,0.00,,,
,00:07:59,61,0.0,00:00,,,,0.00,,,
,00:08:00,61,0.0,00:00,,,,0.00,,,
,00:08:01,61,0.0,00:00,,,,0.00,,,
,00:08:02,60,0.0,00:00,,,,0.00,,,
,00:08:03,60,0.0,00:00,,,,0.00,,,
,00:08:04,60,0.0,00:00,,,,0.00,,,
,00:08:05,60,0.0,00:00,,,,0.00,,,
,00:08:06,60,0.0,00:00,,,,0.00,,,
,00:08:07,59,0.0,00:00,,,,0.00,,,
,00:08:08,59,0.0,00:00,,,,0.00,,,
,00:08:09,59,0.0,00:00,,,,0.00,,,
,00:08:10,59,0.0,00:00,,,,0.00,,,
,00:08:11,59,0.0,00:00,,,,0.00,,,
,00:08:12,59,0.0,00:00,,,,0.00,,,
,00:08:13,60,0.0,00:00,,,,0.00,,,
